Algorithm_Display_Name,Result_Name,Version,Denominator_Result_Name,VS_Hourly_Statistics,One_Algorithm,Two_Algorithms,Ten_Mins,HCTSA
QRS Detection: ECG I,result_qrs(1).qrs,2,/Results/DataAvailable:ECGI,,,,,
QRS Detection: ECG II,result_qrs(2).qrs,2,/Results/DataAvailable:ECGII,,,,,
QRS Detection: ECG III,result_qrs(3).qrs,2,/Results/DataAvailable:ECGIII,,,,,
Brady Detection <100,/Results/Brady<100,2,/Results/DataAvailable:HR,,1,1,,
Apnea Detection,/Results/Apnea,3,/Results/DataAvailable:Resp,,1,1,,
Periodic Breathing,/Results/PeriodicBreathing,2,/Results/DataAvailable:Resp,,1,1,,
Brady Detection Pete,/Results/Brady<100-Pete,2,/Results/DataAvailable:HR,,1,1,,
Desat Detection Pete,/Results/Desat<80-Pete,2,/Results/DataAvailable:SPO2_pct,,1,1,,
Data Available: Pulse,/Results/DataAvailable:Pulse,3,/Results/DataAvailable:Pulse,,1,1,,
Data Available: HR,/Results/DataAvailable:HR,3,/Results/DataAvailable:HR,,1,1,,
Data Available: SPO2_pct,/Results/DataAvailable:SPO2_pct,3,/Results/DataAvailable:SPO2_pct,,1,1,,
Data Available: Resp,/Results/DataAvailable:Resp,3,/Results/DataAvailable:Resp,,1,1,,
Data Available: ECG I,/Results/DataAvailable:ECGI,3,/Results/DataAvailable:ECGI,,1,1,,
Data Available: ECG II,/Results/DataAvailable:ECGII,3,/Results/DataAvailable:ECGII,,1,1,,
Data Available: ECG III,/Results/DataAvailable:ECGIII,3,/Results/DataAvailable:ECGIII,,1,1,,
Desat Detection <75,/Results/Desat<75,1,/Results/DataAvailable:SPO2_pct,,1,1,,
Desat Detection <76,/Results/Desat<76,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <77,/Results/Desat<77,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <78,/Results/Desat<78,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <79,/Results/Desat<79,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <80,/Results/Desat<80,2,/Results/DataAvailable:SPO2_pct,,1,1,,
Desat Detection <81,/Results/Desat<81,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <82,/Results/Desat<82,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <83,/Results/Desat<83,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <84,/Results/Desat<84,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <85,/Results/Desat<85,1,/Results/DataAvailable:SPO2_pct,,1,1,,
Desat Detection <86,/Results/Desat<86,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <87,/Results/Desat<87,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <88,/Results/Desat<88,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <89,/Results/Desat<89,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <90,/Results/Desat<90,1,/Results/DataAvailable:SPO2_pct,,1,1,,
Desat Detection <91,/Results/Desat<91,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <92,/Results/Desat<92,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <93,/Results/Desat<93,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <94,/Results/Desat<94,1,/Results/DataAvailable:SPO2_pct,,,,,
Desat Detection <95,/Results/Desat<95,1,/Results/DataAvailable:SPO2_pct,,1,1,,
Hourly HR Mean,/Results/HourlyHRMean,1,/Results/DataAvailable:HR,1,,,,
Hourly Pulse Mean,/Results/HourlyPulseMean,1,/Results/DataAvailable:Pulse,1,,,,
Hourly SPO2_pct Mean,/Results/HourlySPO2_pctMean,1,/Results/DataAvailable:SPO2_pct,1,,,,
Hourly HR Std,/Results/HourlyHRStd,1,/Results/DataAvailable:HR,1,,,,
Hourly Pulse Std,/Results/HourlyPulseStd,1,/Results/DataAvailable:Pulse,1,,,,
Hourly SPO2_pct Std,/Results/HourlySPO2_pctStd,1,/Results/DataAvailable:SPO2_pct,1,,,,
Hourly HR Skewness,/Results/HourlyHRSkewness,1,/Results/DataAvailable:HR,1,,,,
Hourly Pulse Skewness,/Results/HourlyPulseSkewness,1,/Results/DataAvailable:Pulse,1,,,,
Hourly SPO2_pct Skewness,/Results/HourlySPO2_pctSkewness,1,/Results/DataAvailable:SPO2_pct,1,,,,
Hourly HR Kurtosis,/Results/HourlyHRKurtosis,1,/Results/DataAvailable:HR,1,,,,
Hourly Pulse Kurtosis,/Results/HourlyPulseKurtosis,1,/Results/DataAvailable:Pulse,1,,,,
Hourly SPO2_pct Kurtosis,/Results/HourlySPO2_pctKurtosis,1,/Results/DataAvailable:SPO2_pct,1,,,,
Brady Desat,/Results/BradyDesat,2,/Results/DataAvailable:SPO2_pct,,1,1,,
Brady Desat Pete,/Results/BradyDesatPete,2,/Results/DataAvailable:SPO2_pct,,1,1,,
ABD,/Results/ABD,1,/Results/DataAvailable:Resp,,,,,
Max Cross Correlation HR SPO2_pct,/Results/MaxCrossCorrHR_SPO2_pct,1,/Results/DataAvailable:SPO2_pct,,,,1,
Max Cross Correlation Pulse SPO2_pct,/Results/MaxCrossCorrPulse_SPO2_pct,1,/Results/DataAvailable:SPO2_pct,,,,1,
